CS14_ENG_001	per:holds_shares_in	test7	LTW_ENG_20090603.0052:438-491	Democratic National Committee	LTW_ENG_20090603.0052:438-466	0.274884192408
CS14_ENG_008	org:employees_or_members	test7	eng-NG-31-106346-8892782:536-684	Adriane Fugh-Berman	eng-NG-31-106346-8892782:601-619	0.940388154188
CS14_ENG_008	org:employees_or_members	test7	WPB_ENG_20100226.0073:745-778	Alice Rivlin	WPB_ENG_20100226.0073:528-539	0.876726822352
CS14_ENG_008	org:employees_or_members	test7	APW_ENG_20101104.0571:897-949	Alvaro Uribe	APW_ENG_20101104.0571:216-227	0.922862535412
CS14_ENG_008	org:employees_or_members	test7	WPB_ENG_20100413.0052:3325-3358,WPB_ENG_20100413.0053:3326-3359	Andrew Natsios	WPB_ENG_20100413.0053:3253-3266	0.634149399854
CS14_ENG_008	org:employees_or_members	test7	NYT_ENG_20100920.0129:441-496	Anthony Carnevale	NYT_ENG_20100920.0129:441-457	0.972727946419
CS14_ENG_008	org:employees_or_members	test7	LTW_ENG_20091205.0038:2886-2929,LTW_ENG_20091205.0038:2909-2943	Anthony Clark Arend	LTW_ENG_20091205.0038:2886-2904	0.8786660224
CS14_ENG_008	org:employees_or_members	test7	AFP_ENG_20100118.0731:2953-2967,AFP_ENG_20100118.0731:2953-3016,AFP_ENG_20100118.0731:2996-3016	Asoka Bandarage	AFP_ENG_20100118.0731:2953-2967	0.816362809543
CS14_ENG_008	org:employees_or_members	test7	eng-NG-31-131436-9403128:1239-1280	B. Lindsay Lowell	eng-NG-31-131436-9403128:1239-1255	0.304272419036
CS14_ENG_008	org:employees_or_members	test7	eng-NG-31-131436-9403128:1391-1432	B. Lindsay Lowell	eng-NG-31-131436-9403128:1391-1407	0.521934065162
CS14_ENG_008	org:employees_or_members	test7	eng-NG-31-126958-8238291:4392-4454	Camilla Marvin Weinmann	eng-NG-31-126958-8238291:4500-4522	0.52428854724
CS14_ENG_008	org:employees_or_members	test7	AFP_ENG_20090614.0399:1860-1892	Cha	AFP_ENG_20090614.0399:1860-1862	0.935916304674
CS14_ENG_008	org:employees_or_members	test7	WPB_ENG_20100106.0036:1012-1089	Dan Byman	WPB_ENG_20100106.0036:1001-1009	0.48272728189
CS14_ENG_008	org:employees_or_members	test7	WPB_ENG_20100106.0036:944-1079	Dan Byman	WPB_ENG_20100106.0036:1001-1009	0.412678064247
CS14_ENG_008	org:employees_or_members	test7	WPB_ENG_20100106.0036:885-973	Dan Byman	WPB_ENG_20100106.0036:885-893	0.863002742878
CS14_ENG_008	org:employees_or_members	test7	WPB_ENG_20100730.0071:1691-1746,WPB_ENG_20100730.0071:1713-1746	Daniel Tarullo	WPB_ENG_20100730.0071:1691-1704	0.373698387747
CS14_ENG_008	org:employees_or_members	test7	AFP_ENG_20090905.0030:3043-3077	David Cole	AFP_ENG_20090905.0030:3029-3038	0.906225490923
CS14_ENG_008	org:employees_or_members	test7	AFP_ENG_20090905.0030:3029-3107	David Cole	AFP_ENG_20090905.0030:3029-3038	0.778139887284
CS14_ENG_008	org:employees_or_members	test7	NYT_ENG_20101116.0118:3403-3508	David I. Steinberg	NYT_ENG_20101116.0118:3403-3420	0.835549520671
CS14_ENG_008	org:employees_or_members	test7	NYT_ENG_20101116.0118:3504-3651	David I. Steinberg	NYT_ENG_20101116.0118:3569-3586	0.563380871814
CS14_ENG_008	org:employees_or_members	test7	AFP_ENG_20101105.0431:2439-2585	David Steinberg	AFP_ENG_20101105.0431:2506-2520	0.620582229874
CS14_ENG_008	org:employees_or_members	test7	eng-NG-31-142524-10063825:1913-1953	Deborah Schiffrin	eng-NG-31-142524-10063825:1913-1929	0.0167436906834
CS14_ENG_008	org:employees_or_members	test7	WPB_ENG_20100524.0063:2818-2848	Deborah Tannen	WPB_ENG_20100524.0063:2861-2874	0.515413042682
CS14_ENG_008	org:employees_or_members	test7	WPB_ENG_20100524.0063:2794-2941	Deborah Tannen	WPB_ENG_20100524.0063:2861-2874	0.566426844796
CS14_ENG_008	org:employees_or_members	test7	WPB_ENG_20100524.0063:2793-2942	Deborah Tannen	WPB_ENG_20100524.0063:2861-2874	0.876768635402
CS14_ENG_008	org:employees_or_members	test7	LTW_ENG_20091121.0006:4851-5000	Douglas Kamerow	LTW_ENG_20091121.0006:4851-4865	0.525753291374
CS14_ENG_008	org:employees_or_members	test7	LTW_ENG_20091121.0006:5074-5195,LTW_ENG_20091121.0006:5134-5195	Douglas Kamerow	LTW_ENG_20091121.0006:5010-5024	0.311392856955
CS14_ENG_008	org:employees_or_members	test7	eng-NG-31-126958-8238291:4392-4454	Eric Weinmann	eng-NG-31-126958-8238291:158-170	0.41401464669
CS14_ENG_008	org:employees_or_members	test7	WPB_ENG_20100218.0002:3781-3928	Frank Ambrosio	WPB_ENG_20100218.0002:3848-3861	0.456551737921
CS14_ENG_008	org:employees_or_members	test7	AFP_ENG_20100203.0667:3297-3337	George W. Bush	AFP_ENG_20100203.0667:3250-3263	0.361933196688
CS14_ENG_008	org:employees_or_members	test7	AFP_ENG_20100318.0701:3746-3776,AFP_ENG_20100318.0701:3746-3850,AFP_ENG_20100318.0701:3830-3850	George W. Bush	AFP_ENG_20100318.0701:3763-3776	0.490760684627
CS14_ENG_008	org:employees_or_members	test7	WPB_ENG_20100413.0052:3200-3349	George W. Bush	WPB_ENG_20100413.0052:3268-3281	0.0506333792603
CS14_ENG_008	org:employees_or_members	test7	AFP_ENG_20100913.0017:969-1033	Gottemoeller	AFP_ENG_20100913.0017:969-980	0.28380877428
CS14_ENG_008	org:employees_or_members	test7	NYT_ENG_20090704.0057:2042-2100,NYT_ENG_20090704.0057:2067-2100,NYT_ENG_20090904.0128:4037-4070,WPB_ENG_20100303.0008:5313-5363	Harry J. Holzer	NYT_ENG_20090704.0057:2042-2056	0.905514361758
CS14_ENG_008	org:employees_or_members	test7	NYT_ENG_20090904.0128:3950-4095	Harry J. Holzer	NYT_ENG_20090904.0128:4017-4031	0.382785281464
CS14_ENG_008	org:employees_or_members	test7	WPB_ENG_20100303.0008:5292-5422	Harry J. Holzer	WPB_ENG_20100303.0008:5292-5306	0.389044143876
CS14_ENG_008	org:employees_or_members	test7	APW_ENG_20101022.0898:3023-3085,APW_ENG_20101023.0076:3021-3083	James F. Neal	APW_ENG_20101022.0898:216-228	0.139125933931
CS14_ENG_008	org:employees_or_members	test7	NYT_ENG_20090813.0105:2514-2593,NYT_ENG_20090813.0105:2537-2593	James V. Feinerman	NYT_ENG_20090813.0105:2514-2531	0.422192470077
CS14_ENG_008	org:employees_or_members	test7	NYT_ENG_20090813.0105:2514-2531,NYT_ENG_20090813.0105:2514-2593,NYT_ENG_20090813.0105:2573-2593	James V. Feinerman	NYT_ENG_20090813.0105:2514-2531	0.501064782715
CS14_ENG_008	org:employees_or_members	test7	NYT_ENG_20090813.0105:2464-2597	James V. Feinerman	NYT_ENG_20090813.0105:2514-2531	0.83127134387
CS14_ENG_008	org:employees_or_members	test7	NYT_ENG_20090813.0105:2464-2596	James V. Feinerman	NYT_ENG_20090813.0105:2514-2531	0.661417025507
CS14_ENG_008	org:employees_or_members	test7	NYT_ENG_20101017.0036:1618-1696	Jay Lorenz	NYT_ENG_20101017.0036:1618-1627	0.338987811514
CS14_ENG_008	org:employees_or_members	test7	NYT_ENG_20101017.0036:1618-1696	Jay Lorenz	NYT_ENG_20101017.0036:1618-1627	0.345182093733
CS14_ENG_008	org:employees_or_members	test7	WPB_ENG_20100512.0026:2478-2594	John	WPB_ENG_20100512.0026:2517-2520	0.2042284045
CS14_ENG_008	org:employees_or_members	test7	bolt-eng-DF-212-191666-3019755:328775-328844,bolt-eng-DF-212-191666-3019755:328792-328844	John Esposito	bolt-eng-DF-212-191666-3019755:328775-328787	0.723310735275
CS14_ENG_008	org:employees_or_members	test7	bolt-eng-DF-212-191666-3019755:328775-328787,bolt-eng-DF-212-191666-3019755:328775-328845,bolt-eng-DF-212-191666-3019755:328824-328845	John Esposito	bolt-eng-DF-212-191666-3019755:328775-328787	0.519931904768
CS14_ENG_008	org:employees_or_members	test7	WPB_ENG_20100812.0012:5542-5575	Juan Manuel Santos	WPB_ENG_20100812.0012:238-255	0.267255342849
CS14_ENG_008	org:employees_or_members	test7	LTW_ENG_20090705.0020:1602-1636	Judy Feder	LTW_ENG_20090705.0020:1602-1611	0.466079116408
CS14_ENG_008	org:employees_or_members	test7	LTW_ENG_20090705.0020:1747-1791,LTW_ENG_20090705.0020:1747-1795	Judy Feder	LTW_ENG_20090705.0020:1733-1742	0.535115064963
CS14_ENG_008	org:employees_or_members	test7	LTW_ENG_20090705.0020:1733-1742,LTW_ENG_20090705.0020:1733-1767,LTW_ENG_20090705.0020:1747-1767	Judy Feder	LTW_ENG_20090705.0020:1733-1742	0.304100358348
CS14_ENG_008	org:employees_or_members	test7	LTW_ENG_20090705.0020:1666-1811	Judy Feder	LTW_ENG_20090705.0020:1733-1742	0.521481525058
CS14_ENG_008	org:employees_or_members	test7	LTW_ENG_20091029.0015:507-577	Laura Anderko	LTW_ENG_20091029.0015:507-519	0.338116421529
CS14_ENG_008	org:employees_or_members	test7	LTW_ENG_20091029.0015:528-676	Laura Anderko	LTW_ENG_20091029.0015:596-608	0.754904269354
CS14_ENG_008	org:employees_or_members	test7	CNA_ENG_20091112.0022:4418-4451	Lin Chong -pin	CNA_ENG_20091112.0022:68-80	0.986701796142
CS14_ENG_008	org:employees_or_members	test7	AFP_ENG_20100203.0667:3297-3337,AFP_ENG_20100318.0701:3810-3850	Michael Green	AFP_ENG_20100318.0701:3723-3735	0.859077331931
CS14_ENG_008	org:employees_or_members	test7	LTW_ENG_20090913.0040:5374-5383,LTW_ENG_20090913.0040:5374-5408,LTW_ENG_20090913.0040:5388-5408	Nan Hunter	LTW_ENG_20090913.0040:5374-5383	0.90924603953
CS14_ENG_008	org:employees_or_members	test7	APW_ENG_20091222.0752:93-140	Nikita Mescheriakov	APW_ENG_20091222.0752:122-140	0.188319977709
CS14_ENG_008	org:employees_or_members	test7	APW_ENG_20091222.0752:189-298	Nikita Mescheriakov	APW_ENG_20091222.0752:218-236	0.264876314808
CS14_ENG_008	org:employees_or_members	test7	NYT_ENG_20100118.0039:4478-4566	Pamela Harris	NYT_ENG_20100118.0039:4478-4490	0.810698146013
CS14_ENG_008	org:employees_or_members	test7	NYT_ENG_20100118.0039:4739-4802	Pamela Harris	NYT_ENG_20100118.0039:4714-4726	0.680565047346
CS14_ENG_008	org:employees_or_members	test7	NYT_ENG_20100118.0039:4714-4854	Pamela Harris	NYT_ENG_20100118.0039:4714-4726	0.744094595275
CS14_ENG_008	org:employees_or_members	test7	XIN_ENG_20091025.0106:4268-4347	Paul Pillar	XIN_ENG_20091025.0106:4268-4278	0.624495568124
CS14_ENG_008	org:employees_or_members	test7	NYT_ENG_20100330.0059:3821-3876,NYT_ENG_20100330.0059:3843-3876	Paul Rothstein	NYT_ENG_20100330.0059:3821-3834	0.738581713001
CS14_ENG_008	org:employees_or_members	test7	NYT_ENG_20100330.0059:3753-3877	Paul Rothstein	NYT_ENG_20100330.0059:3821-3834	0.940693217325
CS14_ENG_008	org:employees_or_members	test7	WPB_ENG_20100308.0088:6036-6145	Phillip Swagel	WPB_ENG_20100308.0088:6036-6049	0.637124405181
CS14_ENG_008	org:employees_or_members	test7	NYT_ENG_20100330.0059:4157-4194	Randy Barnett	NYT_ENG_20100330.0059:4157-4169	0.633032634814
CS14_ENG_008	org:employees_or_members	test7	NYT_ENG_20100330.0059:4358-4395,NYT_ENG_20100330.0059:4375-4409,WPB_ENG_20100419.0035:4890-4944,WPB_ENG_20100419.0035:4911-4944	Randy Barnett	NYT_ENG_20100330.0059:4358-4370	0.383514927918
CS14_ENG_008	org:employees_or_members	test7	NYT_ENG_20100330.0059:4290-4438	Randy Barnett	NYT_ENG_20100330.0059:4358-4370	0.552971972514
CS14_ENG_008	org:employees_or_members	test7	WPB_ENG_20100419.0035:4822-4959	Randy Barnett	WPB_ENG_20100419.0035:4890-4902	0.960061581673
CS14_ENG_008	org:employees_or_members	test7	NYT_ENG_20100624.0066:1735-1793	Richard Lazarus	NYT_ENG_20100624.0066:1735-1749	0.740044699923
CS14_ENG_008	org:employees_or_members	test7	eng-NG-31-147907-10555041:4199-4233,eng-NG-31-147907-10555041:4199-4249	Richard Lazarus	eng-NG-31-147907-10555041:4235-4249	0.484493644355
CS14_ENG_008	org:employees_or_members	test7	NYT_ENG_20100624.0066:1901-1931,eng-NG-31-147907-10555041:4199-4233,eng-NG-31-147907-10555041:4199-4249	Richard Lazarus	eng-NG-31-147907-10555041:4235-4249	0.839628680181
CS14_ENG_008	org:employees_or_members	test7	eng-NG-31-147907-10555041:4199-4233,eng-NG-31-147907-10555041:4199-4249	Richard Lazarus	eng-NG-31-147907-10555041:4235-4249	0.623597704008
CS14_ENG_008	org:employees_or_members	test7	eng-NG-31-147907-10555041:4199-4219,eng-NG-31-147907-10555041:4199-4249,eng-NG-31-147907-10555041:4199-4249	Richard Lazarus	eng-NG-31-147907-10555041:4235-4249	0.479782786281
CS14_ENG_008	org:employees_or_members	test7	eng-NG-31-147907-10555041:4168-4316	Richard Lazarus	eng-NG-31-147907-10555041:4235-4249	0.666651691088
CS14_ENG_008	org:employees_or_members	test7	AFP_ENG_20090608.0756:2354-2429	Saad	AFP_ENG_20090608.0756:2354-2357	0.311095253496
CS14_ENG_008	org:employees_or_members	test7	AFP_ENG_20090608.0756:2354-2473	Saad Hariri	AFP_ENG_20090608.0756:58-68	0.189950966365
CS14_ENG_008	org:employees_or_members	test7	eng-NG-31-106346-8892782:430-542	Shahram Ahari	eng-NG-31-106346-8892782:430-442	0.215726543855
CS14_ENG_008	org:employees_or_members	test7	eng-NG-31-126841-9161385:3274-3315,eng-NG-31-126841-9161385:3295-3336	Stephen J. Wayne	eng-NG-31-126841-9161385:3274-3289	0.682686661659
CS14_ENG_008	org:employees_or_members	test7	APW_ENG_20090625.0163:3074-3111	Stephen Wayne	APW_ENG_20090625.0163:3074-3086	0.768675998115
CS14_ENG_008	org:employees_or_members	test7	APW_ENG_20090625.0163:3275-3312,APW_ENG_20090625.0163:3292-3333,APW_ENG_20100328.0010:4959-5020,APW_ENG_20100328.0010:4989-5020	Stephen Wayne	APW_ENG_20100328.0010:4959-4971	0.836330885815
CS14_ENG_008	org:employees_or_members	test7	APW_ENG_20100328.0010:4891-5021	Stephen Wayne	APW_ENG_20100328.0010:4959-4971	0.389790348817
CS14_ENG_008	org:employees_or_members	test7	NYT_ENG_20090710.0188:2807-2899	Thomas J. Reese	NYT_ENG_20090710.0188:2807-2821	0.879068308017
CS14_ENG_008	org:employees_or_members	test7	NYT_ENG_20090710.0188:2929-3019	Thomas J. Reese	NYT_ENG_20090710.0188:2938-2952	0.343953745024
CS14_ENG_008	org:employees_or_members	test7	LTW_ENG_20090629.0006:202-241	Thomas Mulvihill King	LTW_ENG_20090629.0006:1654-1674	0.313302539395
CS14_ENG_008	org:employees_or_members	test7	WPB_ENG_20101116.0107:1219-1335	Thomas Reese	WPB_ENG_20101116.0107:1287-1298	0.407849869423
CS14_ENG_008	org:employees_or_members	test7	AFP_ENG_20100126.0197:1831-1876	Tina Drake Zimmerman	AFP_ENG_20100126.0197:1831-1850	0.912367144973
CS14_ENG_008	org:employees_or_members	test7	AFP_ENG_20090604.0045:1915-1948,AFP_ENG_20090614.0399:2012-2044,AFP_ENG_20090905.0341:3064-3150,AFP_ENG_20100108.0670:2900-2940	Victor Cha	AFP_ENG_20090614.0399:1813-1822	0.594053861718
CS14_ENG_008	org:employees_or_members	test7	eng-NG-31-126851-9167502:2525-2674	Walsh	eng-NG-31-126851-9167502:2525-2529	0.449095984058
CS14_ENG_009	org:students	test7	NYT_ENG_20100823.0146:7217-7337,NYT_ENG_20100823.0146:7348-7448	Adrianna Hardaway	NYT_ENG_20100823.0146:7348-7364	0.699656599438
CS14_ENG_009	org:students	test7	NYT_ENG_20100123.0102:4444-4591,NYT_ENG_20100123.0102:4593-4665	James Edward Cheek	NYT_ENG_20100123.0102:4249-4266	0.314437512959
CS14_ENG_009	org:students	test7	eng-NG-31-128245-9254168:1314-1430	Jeremy Dery	eng-NG-31-128245-9254168:900-910	0.9746334802
CS14_ENG_009	org:students	test7	NYT_ENG_20100823.0146:7217-7337,NYT_ENG_20100823.0146:7348-7448	Jordan Bader	NYT_ENG_20100823.0146:7370-7381	0.328745994972
CS14_ENG_009	org:students	test7	NYT_ENG_20101106.0100:557-615	Li Wanrong	NYT_ENG_20101106.0100:125-134	0.842416424629
CS14_ENG_009	org:students	test7	LTW_ENG_20091111.0108:710-751	Starner	LTW_ENG_20091111.0108:710-716	0.614044092428
CS14_ENG_009	org:students	test7	NYT_ENG_20100315.0163:3291-3339	William John Scott	NYT_ENG_20100315.0163:3291-3308	0.78457776398
CS14_ENG_009	org:students	test7	NYT_ENG_20100315.0163:3450-3532	William John Scott	NYT_ENG_20100315.0163:3450-3467	0.376372452078
CS14_ENG_010	per:top_member_employee_of	test7	AFP_ENG_20100730.0394:2764-2830,AFP_ENG_20100730.0499:2975-3050,AFP_ENG_20100730.0526:376-442,AFP_ENG_20100730.0526:435-533	Appeals Court	AFP_ENG_20100730.0526:376-388	0.00659088362811
CS14_ENG_010	per:top_member_employee_of	test7	APW_ENG_20100730.0359:1001-1043	Bangkok Criminal Court	APW_ENG_20100730.0359:1001-1022	0.57781887404
CS14_ENG_010	per:top_member_employee_of	test7	AFP_ENG_20100417.0314:1334-1401,AFP_ENG_20100417.0314:1390-1401	Democrat Party	AFP_ENG_20100417.0314:926-939	0.261793988471
CS14_ENG_010	per:top_member_employee_of	test7	AFP_ENG_20100417.0314:1334-1401,AFP_ENG_20100417.0314:1390-1401	Democrats	AFP_ENG_20100417.0314:1067-1075	0.369699217042
CS14_ENG_010	per:top_member_employee_of	test7	eng-NG-31-127452-9227689:2630-2645	PTV	eng-NG-31-127452-9227689:2643-2645	0.205690208791
CS14_ENG_010	per:top_member_employee_of	test7	AFP_ENG_20100123.0293:1259-1274,AFP_ENG_20100314.0415:1168-1183,AFP_ENG_20100316.0691:619-634,AFP_ENG_20100422.0671:2059-2074	Red Shirt	AFP_ENG_20100314.0415:1168-1176	0.865472392223
CS14_ENG_010	per:top_member_employee_of	test7	AFP_ENG_20100811.0174:1682-1802	Red Shirt	AFP_ENG_20100811.0174:1724-1732	0.623139937774
CS14_ENG_010	per:top_member_employee_of	test7	AFP_ENG_20100316.0626:932-947,APW_ENG_20100505.0087:1962-1977,APW_ENG_20100505.0235:3501-3516,APW_ENG_20100505.0313:3503-3518	Red Shirts	APW_ENG_20100505.0087:3322-3331	0.641833147759
CS14_ENG_010	per:top_member_employee_of	test7	APW_ENG_20100505.0087:1962-1977,APW_ENG_20100505.0235:3501-3516,APW_ENG_20100505.0313:3503-3518,APW_ENG_20100505.0793:3976-3991	Red Shirts	APW_ENG_20100505.0087:3322-3331	0.865777723187
CS14_ENG_010	per:top_member_employee_of	test7	AFP_ENG_20100505.0741:1070-1073,AFP_ENG_20100505.0741:1070-1097,AFP_ENG_20100505.0741:1082-1097	Reds	AFP_ENG_20100505.0741:860-863	0.629462961503
CS14_ENG_010	per:top_member_employee_of	test7	AFP_ENG_20100520.0668:453-602	United	AFP_ENG_20100520.0668:525-530	0.783447943643
CS14_ENG_010	per:top_member_employee_of	test7	AFP_ENG_20100520.0668:454-601	United	AFP_ENG_20100520.0668:525-530	0.914940476667
CS14_ENG_010	per:top_member_employee_of	test7	AFP_ENG_20100520.0668:464-604	United Front for Democracy	AFP_ENG_20100520.0668:525-550	0.833532214171
CS14_ENG_010	per:top_member_employee_of	test7	AFP_ENG_20100520.0673:480-560	United Front for Democracy against Dictatorship	AFP_ENG_20100520.0673:514-560	0.873882426556
CS14_ENG_010	per:top_member_employee_of	test7	AFP_ENG_20100520.0673:498-560,AFP_ENG_20100520.0776:389-451,XIN_ENG_20100314.0119:846-910,XIN_ENG_20100314.0180:1060-1124	United front for Democracy against Dictatorship	XIN_ENG_20100314.0180:1060-1106	0.777781971111
CS14_ENG_011	gpe:headquarters_in_city	test7	NYT_ENG_20100822.0038:4351-4416	'65 Mustang	NYT_ENG_20100822.0038:4391-4401	0.202791575783
CS14_ENG_011	gpe:headquarters_in_city	test7	eng-NG-31-142693-8724100:5840-5882	Americas Servicing Co.	eng-NG-31-142693-8724100:5840-5861	0.578582600455
CS14_ENG_011	gpe:headquarters_in_city	test7	eng-NG-31-142693-8724100:5992-6034	Americas Servicing Co.	eng-NG-31-142693-8724100:5992-6013	0.862771110197
CS14_ENG_011	gpe:headquarters_in_city	test7	eng-NG-31-142693-8724100:5948-6035	Americas Servicing Co.	eng-NG-31-142693-8724100:5992-6013	0.34525120672
CS14_ENG_011	gpe:headquarters_in_city	test7	APW_ENG_20090805.1190:544-565	Berkshire	APW_ENG_20090805.1190:544-552	0.404661561725
CS14_ENG_011	gpe:headquarters_in_city	test7	APW_ENG_20101122.0587:828-857	Catholic Diocese	APW_ENG_20101122.0587:828-843	0.784685385096
CS14_ENG_011	gpe:headquarters_in_city	test7	APW_ENG_20101122.0587:813-899	Catholic Diocese	APW_ENG_20101122.0587:828-843	0.583969837212
CS14_ENG_011	gpe:headquarters_in_city	test7	APW_ENG_20101201.0176:1329-1352	Dwolla Corp.	APW_ENG_20101201.0176:1361-1372	0.939364145346
CS14_ENG_011	gpe:headquarters_in_city	test7	APW_ENG_20101201.0176:1327-1399	Dwolla Corp.	APW_ENG_20101201.0176:1361-1372	0.941616199407
